country,variable,series,adf_pvalue,kpss_pvalue,adf_stationary_5pct,kpss_stationary_5pct
Australia,anxiety,level,0.732823336998803,0.01,False,False
Australia,anxiety,diff1,0.045782705386334895,0.1,True,True
Australia,depression,level,0.5975263863058028,0.01,False,False
Australia,depression,diff1,0.00012356504681273087,0.1,True,True
Australia,stress,level,0.028375000856722184,0.09327228833248656,True,True
Australia,stress,diff1,0.0012306941182192352,0.1,True,True
Australia,insomnia,level,0.7145915874394502,0.01,False,False
Australia,insomnia,diff1,7.193910002340096e-10,0.1,True,True
Australia,mental_disorder,level,0.18492724838725616,0.1,False,True
Australia,mental_disorder,diff1,0.005457637132174015,0.05985160317271533,True,True
Canada,anxiety,level,0.7012504468081368,0.01,False,False
Canada,anxiety,diff1,0.05348961517164493,0.1,False,True
Canada,depression,level,0.40930382049876574,0.01,False,False
Canada,depression,diff1,0.0003787550858334706,0.1,True,True
Canada,stress,level,0.040235156141545166,0.1,True,True
Canada,stress,diff1,0.0012873545374163008,0.1,True,True
Canada,insomnia,level,0.44908267676829766,0.01,False,False
Canada,insomnia,diff1,0.0001972174887243699,0.1,True,True
Canada,mental_disorder,level,0.29012722461837515,0.02295227495638532,False,False
Canada,mental_disorder,diff1,0.0012848038003514693,0.1,True,True
Ireland,anxiety,level,0.7272136345067439,0.01,False,False
Ireland,anxiety,diff1,0.010686803659503249,0.1,True,True
Ireland,depression,level,0.28475601491599567,0.01,False,False
Ireland,depression,diff1,0.0004572922091466436,0.1,True,True
Ireland,stress,level,0.017421766626920788,0.04252508546535223,True,False
Ireland,stress,diff1,0.002072117765675254,0.1,True,True
Ireland,insomnia,level,0.024599978822895465,0.1,True,True
Ireland,insomnia,diff1,0.003321488079181808,0.1,True,True
Ireland,mental_disorder,level,0.2432525237352336,0.1,False,True
Ireland,mental_disorder,diff1,0.0015363251962296042,0.1,True,True
New_Zealand,anxiety,level,0.7654062105422372,0.01,False,False
New_Zealand,anxiety,diff1,2.2685125188302325e-05,0.1,True,True
New_Zealand,depression,level,0.5728421569167108,0.01,False,False
New_Zealand,depression,diff1,0.009025887278848354,0.1,True,True
New_Zealand,stress,level,0.06835739519797944,0.022549298754282878,False,False
New_Zealand,stress,diff1,0.0017099742949847224,0.1,True,True
New_Zealand,insomnia,level,0.06158652220355785,0.010320891722543964,False,False
New_Zealand,insomnia,diff1,1.0189839227341822e-07,0.1,True,True
New_Zealand,mental_disorder,level,0.23563251689430226,0.1,False,True
New_Zealand,mental_disorder,diff1,0.007309431335952397,0.1,True,True
UK,anxiety,level,0.8207220542161106,0.01,False,False
UK,anxiety,diff1,0.011204832512365955,0.1,True,True
UK,depression,level,0.24894373078019372,0.01,False,False
UK,depression,diff1,0.004506278956575611,0.1,True,True
UK,stress,level,0.033362550321027765,0.1,True,True
UK,stress,diff1,0.002210479892046635,0.1,True,True
UK,insomnia,level,0.674272076259878,0.01,False,False
UK,insomnia,diff1,1.62053185907081e-08,0.1,True,True
UK,mental_disorder,level,0.18390745459657676,0.037089023058195114,False,False
UK,mental_disorder,diff1,0.017510069122569926,0.07677489681128644,True,True
US,anxiety,level,0.9415660874916145,0.01,False,False
US,anxiety,diff1,0.00020937258707947492,0.1,True,True
US,depression,level,0.19422098797838488,0.01,False,False
US,depression,diff1,0.0028810262023242425,0.1,True,True
US,stress,level,0.005632627091148715,0.1,True,True
US,stress,diff1,0.0017788495696715806,0.1,True,True
US,insomnia,level,0.7124293509555735,0.01,False,False
US,insomnia,diff1,3.508111407499577e-07,0.1,True,True
US,mental_disorder,level,0.3678296516397099,0.01,False,False
US,mental_disorder,diff1,0.0010774658475717178,0.1,True,True
