"Time","Anxiety","Major depressive disorder","Psychological Stress","Insomnia","Mental disorder"
"2004-01-01",27,55,28,6,16
"2004-02-01",31,63,34,9,28
"2004-03-01",32,82,45,9,40
"2004-04-01",33,73,45,5,34
"2004-05-01",33,87,49,8,38
"2004-06-01",34,75,39,5,31
"2004-07-01",28,78,34,9,25
"2004-08-01",31,77,42,7,37
"2004-09-01",36,79,46,7,30
"2004-10-01",36,79,43,6,34
"2004-11-01",29,71,41,8,28
"2004-12-01",29,52,23,7,19
"2005-01-01",28,55,27,9,17
"2005-02-01",25,64,34,8,25
"2005-03-01",27,71,44,9,36
"2005-04-01",37,68,43,11,33
"2005-05-01",32,91,46,7,34
"2005-06-01",30,73,39,9,31
"2005-07-01",29,62,30,9,27
"2005-08-01",35,73,40,9,35
"2005-09-01",31,70,35,8,29
"2005-10-01",33,74,38,8,33
"2005-11-01",28,55,33,8,28
"2005-12-01",25,45,22,6,19
"2006-01-01",27,64,20,9,17
"2006-02-01",31,64,31,6,23
"2006-03-01",30,76,41,8,32
"2006-04-01",32,68,35,8,29
"2006-05-01",34,79,40,8,30
"2006-06-01",28,57,32,8,22
"2006-07-01",29,48,26,7,22
"2006-08-01",31,64,33,7,28
"2006-09-01",31,56,32,6,24
"2006-10-01",30,63,33,7,23
"2006-11-01",27,55,30,8,23
"2006-12-01",21,38,22,6,15
"2007-01-01",24,40,18,7,16
"2007-02-01",28,47,26,7,18
"2007-03-01",28,58,36,8,25
"2007-04-01",30,52,30,7,21
"2007-05-01",31,70,41,7,26
"2007-06-01",26,52,29,6,21
"2007-07-01",23,45,23,6,19
"2007-08-01",30,57,34,8,24
"2007-09-01",32,56,36,7,24
"2007-10-01",29,53,33,6,24
"2007-11-01",25,51,32,5,20
"2007-12-01",22,35,20,5,13
"2008-01-01",28,37,18,7,14
"2008-02-01",28,44,25,8,17
"2008-03-01",30,53,34,8,26
"2008-04-01",31,51,37,6,22
"2008-05-01",30,62,36,6,29
"2008-06-01",29,51,32,7,21
"2008-07-01",26,41,27,7,18
"2008-08-01",29,50,29,6,26
"2008-09-01",30,61,32,7,27
"2008-10-01",29,57,31,8,23
"2008-11-01",28,49,28,6,21
"2008-12-01",24,37,20,7,13
"2009-01-01",25,38,17,9,13
"2009-02-01",28,43,25,6,17
"2009-03-01",30,55,31,9,25
"2009-04-01",28,50,30,7,22
"2009-05-01",33,58,34,8,26
"2009-06-01",29,49,29,8,20
"2009-07-01",28,43,26,8,17
"2009-08-01",32,55,32,8,26
"2009-09-01",33,56,30,8,24
"2009-10-01",33,51,29,7,23
"2009-11-01",27,48,27,7,18
"2009-12-01",26,36,20,7,13
"2010-01-01",28,37,19,8,15
"2010-02-01",34,43,25,7,19
"2010-03-01",35,57,32,8,25
"2010-04-01",33,48,32,7,21
"2010-05-01",40,51,35,8,28
"2010-06-01",33,46,29,8,22
"2010-07-01",30,43,29,8,20
"2010-08-01",36,55,28,8,26
"2010-09-01",37,53,29,7,22
"2010-10-01",38,53,30,8,24
"2010-11-01",33,48,28,8,20
"2010-12-01",29,37,20,7,13
"2011-01-01",32,33,20,8,13
"2011-02-01",33,41,25,8,18
"2011-03-01",37,44,32,8,25
"2011-04-01",37,45,29,8,22
"2011-05-01",40,50,30,8,26
"2011-06-01",40,44,29,8,21
"2011-07-01",33,37,25,8,16
"2011-08-01",38,44,29,8,23
"2011-09-01",39,49,29,7,23
"2011-10-01",37,51,28,8,22
"2011-11-01",35,44,29,8,20
"2011-12-01",33,37,22,7,13
"2012-01-01",36,40,21,9,14
"2012-02-01",40,44,28,8,19
"2012-03-01",40,47,31,9,23
"2012-04-01",39,45,28,8,22
"2012-05-01",51,54,30,8,25
"2012-06-01",43,43,27,8,21
"2012-07-01",41,40,26,8,18
"2012-08-01",46,48,29,8,25
"2012-09-01",46,51,29,8,24
"2012-10-01",45,51,31,8,23
"2012-11-01",43,46,27,8,21
"2012-12-01",36,34,21,7,16
"2013-01-01",41,34,22,10,15
"2013-02-01",49,43,26,8,22
"2013-03-01",50,51,30,9,23
"2013-04-01",55,50,27,9,24
"2013-05-01",62,58,31,8,26
"2013-06-01",56,50,26,8,23
"2013-07-01",54,46,26,9,18
"2013-08-01",57,52,28,8,25
"2013-09-01",56,50,29,8,24
"2013-10-01",57,50,30,8,23
"2013-11-01",52,44,28,7,22
"2013-12-01",46,36,21,7,16
"2014-01-01",52,40,25,9,17
"2014-02-01",58,54,28,9,21
"2014-03-01",60,54,34,9,25
"2014-04-01",57,51,28,9,22
"2014-05-01",60,56,34,8,27
"2014-06-01",56,51,30,9,25
"2014-07-01",57,46,27,9,22
"2014-08-01",58,65,29,9,27
"2014-09-01",59,57,30,8,27
"2014-10-01",63,58,29,8,27
"2014-11-01",60,51,29,8,23
"2014-12-01",50,37,23,8,17
"2015-01-01",54,40,23,9,18
"2015-02-01",60,46,27,9,22
"2015-03-01",68,57,33,9,29
"2015-04-01",65,54,29,8,25
"2015-05-01",67,61,36,8,28
"2015-06-01",64,51,32,8,27
"2015-07-01",61,46,26,8,22
"2015-08-01",69,55,33,8,28
"2015-09-01",68,56,32,8,33
"2015-10-01",73,55,34,9,30
"2015-11-01",63,48,31,7,22
"2015-12-01",58,38,25,7,19
"2016-01-01",62,41,24,10,18
"2016-02-01",71,48,31,9,23
"2016-03-01",73,50,34,9,29
"2016-04-01",77,49,37,9,28
"2016-05-01",80,56,38,9,34
"2016-06-01",68,46,31,8,25
"2016-07-01",66,41,26,8,22
"2016-08-01",73,49,33,8,26
