"Time","Anxiety","Major depressive disorder","Psychological Stress","Insomnia","Mental disorder"
"2004-01-01",32,59,39,10,23
"2004-02-01",33,63,41,11,27
"2004-03-01",33,65,47,9,27
"2004-04-01",32,61,43,7,25
"2004-05-01",32,64,38,8,24
"2004-06-01",31,49,32,8,17
"2004-07-01",32,49,28,9,18
"2004-08-01",31,44,32,8,17
"2004-09-01",33,55,39,8,23
"2004-10-01",36,59,46,9,25
"2004-11-01",38,72,56,10,31
"2004-12-01",30,58,40,10,19
"2005-01-01",32,58,36,12,25
"2005-02-01",35,55,38,10,24
"2005-03-01",30,61,43,7,25
"2005-04-01",31,59,38,10,26
"2005-05-01",30,61,41,8,24
"2005-06-01",32,52,35,8,21
"2005-07-01",28,45,26,9,17
"2005-08-01",29,43,25,9,15
"2005-09-01",29,46,32,8,19
"2005-10-01",29,57,40,11,23
"2005-11-01",32,66,45,10,27
"2005-12-01",29,54,35,9,20
"2006-01-01",30,60,35,12,19
"2006-02-01",33,55,38,9,20
"2006-03-01",31,60,39,9,22
"2006-04-01",33,55,36,9,21
"2006-05-01",29,53,33,8,22
"2006-06-01",27,42,30,8,18
"2006-07-01",28,38,24,8,13
"2006-08-01",28,39,23,9,14
"2006-09-01",30,43,28,9,17
"2006-10-01",31,53,36,10,22
"2006-11-01",31,54,40,8,22
"2006-12-01",29,44,29,8,15
"2007-01-01",29,48,30,10,18
"2007-02-01",29,49,31,8,18
"2007-03-01",30,52,34,9,20
"2007-04-01",29,46,32,8,19
"2007-05-01",28,45,30,8,20
"2007-06-01",27,41,27,7,15
"2007-07-01",27,37,21,8,14
"2007-08-01",27,35,22,7,12
"2007-09-01",31,39,27,7,17
"2007-10-01",32,49,35,9,21
"2007-11-01",32,52,39,9,22
"2007-12-01",26,40,28,8,16
"2008-01-01",31,48,30,11,20
"2008-02-01",32,48,32,9,22
"2008-03-01",33,47,33,9,21
"2008-04-01",30,43,35,8,19
"2008-05-01",29,44,30,8,17
"2008-06-01",30,39,26,7,16
"2008-07-01",31,37,22,8,13
"2008-08-01",28,33,21,8,13
"2008-09-01",32,40,30,8,18
"2008-10-01",33,46,34,9,21
"2008-11-01",33,48,33,9,22
"2008-12-01",28,42,27,8,15
"2009-01-01",31,45,28,10,19
"2009-02-01",34,47,30,9,21
"2009-03-01",31,44,32,9,21
"2009-04-01",33,43,32,9,20
"2009-05-01",32,41,31,8,19
"2009-06-01",32,37,27,8,17
"2009-07-01",31,37,24,10,14
"2009-08-01",30,33,23,9,14
"2009-09-01",32,36,27,9,19
"2009-10-01",33,39,33,11,21
"2009-11-01",35,46,35,9,22
"2009-12-01",34,38,29,10,18
"2010-01-01",36,40,31,12,20
"2010-02-01",35,41,33,9,20
"2010-03-01",34,41,34,11,23
"2010-04-01",33,39,31,9,22
"2010-05-01",33,40,28,8,20
"2010-06-01",32,36,27,9,17
"2010-07-01",31,39,24,10,15
"2010-08-01",32,35,23,11,14
"2010-09-01",36,37,28,11,17
"2010-10-01",36,39,32,11,20
"2010-11-01",34,45,31,10,24
"2010-12-01",32,37,27,10,18
"2011-01-01",35,46,26,13,21
"2011-02-01",34,46,29,11,21
"2011-03-01",36,45,30,11,22
"2011-04-01",35,39,29,9,20
"2011-05-01",34,41,24,9,19
"2011-06-01",32,36,26,9,18
"2011-07-01",33,31,22,10,15
"2011-08-01",34,32,25,10,15
"2011-09-01",38,45,26,10,20
"2011-10-01",41,49,31,11,22
