"Time","Anxiety","Major depressive disorder","Psychological Stress","Insomnia","Mental disorder"
"2004-01-01",0,66,50,0,29
"2004-02-01",29,56,54,20,25
"2004-03-01",0,71,40,0,30
"2004-04-01",0,49,53,0,25
"2004-05-01",30,46,24,0,0
"2004-06-01",0,52,34,0,0
"2004-07-01",25,56,26,0,0
"2004-08-01",19,41,34,21,17
"2004-09-01",18,49,32,0,26
"2004-10-01",28,63,46,0,22
"2004-11-01",24,48,55,0,24
"2004-12-01",19,49,45,0,25
"2005-01-01",25,68,37,15,12
"2005-02-01",24,52,43,0,26
"2005-03-01",30,64,40,0,15
"2005-04-01",36,61,58,0,19
"2005-05-01",32,56,42,0,21
"2005-06-01",18,33,33,11,16
"2005-07-01",24,51,20,0,16
"2005-08-01",18,61,32,12,13
"2005-09-01",23,50,38,0,12
"2005-10-01",26,55,34,0,19
"2005-11-01",25,48,54,0,19
"2005-12-01",25,53,34,0,18
"2006-01-01",19,59,38,8,15
"2006-02-01",20,43,37,10,19
"2006-03-01",26,50,32,9,21
"2006-04-01",21,48,31,0,17
"2006-05-01",20,35,35,0,10
"2006-06-01",16,30,24,8,0
"2006-07-01",20,45,28,6,13
"2006-08-01",12,30,22,8,10
"2006-09-01",22,50,23,0,10
"2006-10-01",21,51,38,9,19
"2006-11-01",16,54,32,0,17
"2006-12-01",18,40,21,6,14
"2007-01-01",23,41,30,8,17
"2007-02-01",22,44,28,4,17
"2007-03-01",23,39,30,4,14
"2007-04-01",25,41,29,0,15
"2007-05-01",17,33,28,0,15
"2007-06-01",13,35,18,0,9
"2007-07-01",16,36,20,7,12
"2007-08-01",18,32,18,8,7
"2007-09-01",20,32,24,6,11
"2007-10-01",24,46,27,7,17
"2007-11-01",21,41,30,8,14
"2007-12-01",17,37,25,8,13
"2008-01-01",21,37,27,9,14
"2008-02-01",22,42,28,7,16
"2008-03-01",21,36,31,6,14
"2008-04-01",20,40,29,5,17
"2008-05-01",17,37,23,6,17
"2008-06-01",17,28,24,7,12
"2008-07-01",15,31,17,7,10
"2008-08-01",21,29,17,7,9
"2008-09-01",23,34,25,6,15
"2008-10-01",25,35,29,6,16
"2008-11-01",22,44,35,7,18
"2008-12-01",21,37,28,8,14
"2009-01-01",21,41,26,9,14
"2009-02-01",21,35,29,9,16
"2009-03-01",26,38,30,8,17
"2009-04-01",21,35,29,7,16
"2009-05-01",27,33,26,6,14
"2009-06-01",20,33,17,6,12
"2009-07-01",23,34,16,8,11
"2009-08-01",24,35,22,8,11
"2009-09-01",22,30,20,7,12
"2009-10-01",26,42,26,8,17
"2009-11-01",27,45,31,8,18
"2009-12-01",22,37,25,7,15
"2010-01-01",25,40,25,7,16
"2010-02-01",26,39,26,6,16
"2010-03-01",26,43,30,6,15
"2010-04-01",29,42,30,6,17
"2010-05-01",27,41,26,7,14
"2010-06-01",23,30,22,7,13
"2010-07-01",24,33,22,7,9
"2010-08-01",27,35,19,9,12
"2010-09-01",31,36,23,8,12
"2010-10-01",30,40,27,7,16
"2010-11-01",29,41,28,7,17
"2010-12-01",25,34,22,8,13
"2011-01-01",33,43,27,12,13
"2011-02-01",30,42,29,9,15
"2011-03-01",32,40,36,9,16
"2011-04-01",33,46,33,7,16
"2011-05-01",31,41,29,7,16
"2011-06-01",28,35,22,9,11
"2011-07-01",32,38,20,8,12
"2011-08-01",31,39,22,10,10
"2011-09-01",36,39,24,7,15
"2011-10-01",34,44,30,10,15
"2011-11-01",36,54,33,9,18
"2011-12-01",31,44,26,9,15
"2012-01-01",34,50,29,10,15
"2012-02-01",33,44,31,10,16
"2012-03-01",36,47,32,9,18
"2012-04-01",38,49,30,9,18
"2012-05-01",33,44,29,9,16
"2012-06-01",34,43,25,8,13
"2012-07-01",33,37,22,9,10
"2012-08-01",36,42,23,11,11
"2012-09-01",37,42,23,10,14
"2012-10-01",37,42,27,8,16
"2012-11-01",41,44,30,9,20
"2012-12-01",35,40,25,9,14
"2013-01-01",43,50,27,13,15
"2013-02-01",42,51,29,8,16
"2013-03-01",43,48,29,8,16
"2013-04-01",45,50,34,10,19
"2013-05-01",44,46,30,8,16
"2013-06-01",41,39,22,8,12
"2013-07-01",42,35,21,7,14
"2013-08-01",44,40,25,11,12
"2013-09-01",48,41,27,9,14
"2013-10-01",50,52,33,9,18
"2013-11-01",50,60,35,10,19
"2013-12-01",45,50,28,10,17
"2014-01-01",50,48,32,11,15
"2014-02-01",46,47,26,9,15
"2014-03-01",53,49,31,8,17
"2014-04-01",45,47,31,9,17
"2014-05-01",46,45,29,8,15
"2014-06-01",42,38,24,9,11
"2014-07-01",39,35,21,12,12
"2014-08-01",46,42,21,13,12
"2014-09-01",47,41,24,10,14
"2014-10-01",49,43,30,10,17
"2014-11-01",52,54,32,10,19
"2014-12-01",48,46,30,11,14
"2015-01-01",51,48,27,12,15
"2015-02-01",50,46,29,10,17
"2015-03-01",53,52,31,10,19
"2015-04-01",52,46,32,11,18
"2015-05-01",55,42,32,9,15
"2015-06-01",54,43,27,10,14
"2015-07-01",54,47,26,13,15
"2015-08-01",62,44,26,12,13
"2015-09-01",67,49,31,10,18
"2015-10-01",67,51,32,11,22
"2015-11-01",69,53,37,11,21
"2015-12-01",66,49,31,13,17
"2016-01-01",71,51,32,14,19
"2016-02-01",70,48,34,12,20
"2016-03-01",69,51,34,11,19
"2016-04-01",86,59,40,13,23
"2016-05-01",70,48,34,15,18
"2016-06-01",65,39,26,15,14
"2016-07-01",61,42,24,11,13
"2016-08-01",67,39,25,11,15
"2016-09-01",75,45,31,11,19
"2016-10-01",77,52,35,12,25
"2016-11-01",82,12,9,14,17
"2016-12-01",81,10,7,14,13
"2017-01-01",87,12,5,16,13
"2017-02-01",100,11,2,13,15
"2017-03-01",89,12,2,13,14
"2017-04-01",95,13,1,13,16
"2017-05-01",88,9,1,13,13
"2017-06-01",76,11,1,14,11
"2017-07-01",73,5,0,13,10
"2017-08-01",80,7,0,15,10
"2017-09-01",83,8,0,12,14
"2017-10-01",94,6,1,12,22
"2017-11-01",88,10,1,13,14
"2017-12-01",87,8,1,13,13
"2018-01-01",93,11,2,16,12
"2018-02-01",82,9,4,13,24
"2018-03-01",78,10,6,13,44
"2018-04-01",81,8,13,12,34
"2018-05-01",81,9,22,10,29
"2018-06-01",84,7,20,9,24
"2018-07-01",78,6,13,8,29
"2018-08-01",79,5,8,10,25
"2018-09-01",83,6,21,10,23
"2018-10-01",91,9,33,8,31
"2018-11-01",86,22,41,12,36
"2018-12-01",83,24,33,12,43
"2019-01-01",85,23,33,13,51
"2019-02-01",85,21,34,11,49
"2019-03-01",84,24,40,9,37
"2019-04-01",89,27,39,7,29
"2019-05-01",86,22,39,8,41
"2019-06-01",87,16,31,9,26
"2019-07-01",76,15,29,8,25
"2019-08-01",78,15,31,9,24
"2019-09-01",82,17,34,12,34
"2019-10-01",79,19,39,12,47
"2019-11-01",81,21,39,11,37
"2019-12-01",79,19,34,11,32
"2020-01-01",82,24,35,13,35
"2020-02-01",85,24,39,11,37
"2020-03-01",78,17,34,9,31
"2020-04-01",80,21,39,11,31
"2020-05-01",75,20,35,12,24
"2020-06-01",79,17,30,11,22
"2020-07-01",81,16,34,12,22
"2020-08-01",81,16,32,12,19
"2020-09-01",89,18,36,12,24
"2020-10-01",78,21,36,11,35
"2020-11-01",82,21,41,12,36
"2020-12-01",81,19,37,13,30
"2021-01-01",89,20,36,14,33
"2021-02-01",92,29,37,13,33
"2021-03-01",88,45,42,11,30
"2021-04-01",87,43,38,10,31
"2021-05-01",90,38,36,10,22
"2021-06-01",82,33,30,10,20
"2021-07-01",76,28,28,9,16
"2021-08-01",89,30,30,12,17
"2021-09-01",91,24,37,9,17
"2021-10-01",93,27,33,11,17
"2021-11-01",86,26,36,11,17
"2021-12-01",78,24,34,9,15
"2022-01-01",89,28,31,13,18
"2022-02-01",88,24,37,9,19
"2022-03-01",81,19,39,8,20
"2022-04-01",78,24,39,8,22
"2022-05-01",72,27,37,8,10
"2022-06-01",72,15,32,7,11
"2022-07-01",76,7,25,8,11
"2022-08-01",77,6,26,9,13
"2022-09-01",80,6,32,9,14
"2022-10-01",84,8,31,10,15
"2022-11-01",80,8,32,11,15
"2022-12-01",74,7,30,11,13
"2023-01-01",83,7,29,14,15
"2023-02-01",86,7,32,12,14
"2023-03-01",85,4,10,12,12
"2023-04-01",79,4,7,12,11
"2023-05-01",81,4,8,11,12
"2023-06-01",71,3,8,11,10
"2023-07-01",74,4,7,9,10
"2023-08-01",82,3,12,10,10
"2023-09-01",79,4,13,11,10
"2023-10-01",82,5,13,10,12
"2023-11-01",87,5,14,12,13
"2023-12-01",82,4,13,12,11
"2024-01-01",75,4,10,13,11
"2024-02-01",78,4,11,10,11
"2024-03-01",85,4,8,11,12
"2024-04-01",82,5,10,10,13
"2024-05-01",76,4,12,10,11
"2024-06-01",72,4,9,10,10
"2024-07-01",76,4,7,10,8
"2024-08-01",78,4,16,10,9
"2024-09-01",78,4,20,10,10
"2024-10-01",86,4,23,9,11
"2024-11-01",81,4,18,10,10
"2024-12-01",72,4,32,10,9
"2025-01-01",79,4,35,11,9
"2025-02-01",80,4,21,10,9
"2025-03-01",79,5,22,9,10
"2025-04-01",76,6,8,9,10
"2025-05-01",70,5,4,9,8
"2025-06-01",72,5,3,10,7
"2025-07-01",69,4,3,11,8
"2025-08-01",71,4,3,11,7
"2025-09-01",68,6,5,9,9
"2025-10-01",71,4,5,9,9
"2025-11-01",80,9,5,11,11
"2025-12-01",75,6,6,12,10
