"Time","Anxiety","Major depressive disorder","Psychological Stress","Insomnia","Mental disorder"
"2004-01-01",25,53,45,0,33
"2004-02-01",21,53,0,0,25
"2004-03-01",41,54,51,0,28
"2004-04-01",37,63,63,0,40
"2004-05-01",27,83,68,0,43
"2004-06-01",27,81,53,0,26
"2004-07-01",18,65,46,0,35
"2004-08-01",33,62,51,0,36
"2004-09-01",37,68,64,0,27
"2004-10-01",38,88,53,14,33
"2004-11-01",25,62,52,0,29
"2004-12-01",23,46,40,0,28
"2005-01-01",30,65,36,15,21
"2005-02-01",23,43,32,13,27
"2005-03-01",33,56,49,0,33
"2005-04-01",32,68,44,12,30
"2005-05-01",27,85,57,0,34
"2005-06-01",24,70,47,0,36
"2005-07-01",30,62,49,0,29
"2005-08-01",38,71,49,0,33
"2005-09-01",30,70,44,16,34
"2005-10-01",29,67,43,11,25
"2005-11-01",28,48,38,12,26
"2005-12-01",31,56,37,0,27
"2006-01-01",32,52,19,9,12
"2006-02-01",27,44,32,0,27
"2006-03-01",28,69,43,7,26
"2006-04-01",33,56,42,0,30
"2006-05-01",30,65,47,0,29
"2006-06-01",28,60,32,7,21
"2006-07-01",34,50,39,0,23
"2006-08-01",26,60,33,10,28
"2006-09-01",19,57,35,0,25
"2006-10-01",28,74,34,8,27
"2006-11-01",30,55,39,9,18
"2006-12-01",24,48,21,6,16
"2007-01-01",18,62,27,9,16
"2007-02-01",21,60,17,8,15
"2007-03-01",23,65,37,11,22
"2007-04-01",27,58,33,9,27
"2007-05-01",35,67,43,12,28
"2007-06-01",28,64,35,8,23
"2007-07-01",29,62,35,11,25
"2007-08-01",24,62,36,9,28
"2007-09-01",30,67,29,9,24
"2007-10-01",27,58,31,10,23
"2007-11-01",30,53,29,6,22
"2007-12-01",23,43,28,8,14
"2008-01-01",27,50,18,8,21
"2008-02-01",38,53,24,8,14
"2008-03-01",28,64,36,8,23
"2008-04-01",33,58,32,13,25
"2008-05-01",29,60,34,6,25
"2008-06-01",32,59,33,11,24
"2008-07-01",25,51,30,7,22
"2008-08-01",30,59,36,7,25
"2008-09-01",30,57,30,8,19
"2008-10-01",27,60,35,8,24
"2008-11-01",23,46,36,8,17
"2008-12-01",25,38,23,8,17
"2009-01-01",18,51,20,9,13
"2009-02-01",30,53,32,6,18
"2009-03-01",28,57,31,10,26
"2009-04-01",38,49,31,10,20
"2009-05-01",30,55,34,9,24
"2009-06-01",24,52,30,10,23
"2009-07-01",28,49,33,5,21
"2009-08-01",29,54,35,10,24
"2009-09-01",31,60,30,9,21
"2009-10-01",30,57,38,10,20
"2009-11-01",34,52,34,10,20
"2009-12-01",24,38,21,8,15
"2010-01-01",30,44,17,11,18
"2010-02-01",30,44,27,10,16
"2010-03-01",38,53,31,9,20
"2010-04-01",34,53,37,9,20
"2010-05-01",38,60,40,9,23
"2010-06-01",37,77,35,10,23
"2010-07-01",42,57,34,13,20
"2010-08-01",35,62,31,12,22
"2010-09-01",35,49,35,9,21
"2010-10-01",31,57,36,11,23
"2010-11-01",31,56,32,9,19
"2010-12-01",31,39,22,10,15
"2011-01-01",33,44,21,11,14
"2011-02-01",31,43,29,10,19
"2011-03-01",32,49,34,9,18
"2011-04-01",33,45,31,7,19
"2011-05-01",38,62,36,10,25
"2011-06-01",37,57,33,10,22
"2011-07-01",34,48,27,11,20
