"Time","Anxiety","Major depressive disorder","Psychological Stress","Insomnia","Mental disorder"
"2004-01-01",27,49,30,8,20
"2004-02-01",26,44,35,8,20
"2004-03-01",30,52,38,9,22
"2004-04-01",29,54,39,8,24
"2004-05-01",26,48,32,7,22
"2004-06-01",27,41,28,6,17
"2004-07-01",29,39,29,8,17
"2004-08-01",26,39,28,8,16
"2004-09-01",30,53,36,8,21
"2004-10-01",28,52,34,8,21
"2004-11-01",29,56,40,7,23
"2004-12-01",26,48,32,7,19
"2005-01-01",27,46,28,9,20
"2005-02-01",26,51,34,8,21
"2005-03-01",25,53,35,8,19
"2005-04-01",28,56,35,8,23
"2005-05-01",26,53,30,7,22
"2005-06-01",26,43,25,8,17
"2005-07-01",27,38,23,8,16
"2005-08-01",27,37,23,8,15
"2005-09-01",28,42,31,8,20
"2005-10-01",29,52,37,9,20
"2005-11-01",27,55,35,8,19
"2005-12-01",22,49,29,7,17
"2006-01-01",29,52,26,8,17
"2006-02-01",29,50,32,8,17
"2006-03-01",29,52,34,8,18
"2006-04-01",29,51,32,7,19
"2006-05-01",28,47,28,8,19
"2006-06-01",26,40,23,6,14
"2006-07-01",26,38,22,7,14
"2006-08-01",27,38,24,8,13
"2006-09-01",28,43,29,7,15
"2006-10-01",28,47,31,8,16
"2006-11-01",27,46,31,7,15
"2006-12-01",24,40,26,7,13
"2007-01-01",27,40,25,8,14
"2007-02-01",27,41,29,7,15
"2007-03-01",28,43,29,8,16
"2007-04-01",28,43,30,7,18
"2007-05-01",26,43,28,6,17
"2007-06-01",25,36,24,7,13
"2007-07-01",27,34,24,7,13
"2007-08-01",27,32,23,7,11
"2007-09-01",30,39,28,7,17
"2007-10-01",29,42,33,9,19
"2007-11-01",28,43,33,7,19
"2007-12-01",23,36,26,7,15
"2008-01-01",28,38,24,8,16
"2008-02-01",29,40,28,8,19
"2008-03-01",28,42,29,8,18
"2008-04-01",29,41,31,7,20
"2008-05-01",27,38,26,7,19
"2008-06-01",28,33,23,6,14
"2008-07-01",28,33,23,8,15
"2008-08-01",28,30,24,7,14
"2008-09-01",29,38,28,7,17
"2008-10-01",31,43,31,7,19
"2008-11-01",30,42,29,7,19
"2008-12-01",27,39,26,7,16
"2009-01-01",29,36,24,7,15
"2009-02-01",30,41,31,7,18
"2009-03-01",32,43,32,9,19
"2009-04-01",31,41,33,8,21
"2009-05-01",30,37,30,7,19
"2009-06-01",31,33,25,7,16
"2009-07-01",33,32,23,8,16
"2009-08-01",32,32,23,8,16
"2009-09-01",33,35,29,8,19
"2009-10-01",34,38,31,8,21
"2009-11-01",33,43,32,7,21
"2009-12-01",29,37,26,8,18
"2010-01-01",34,35,26,9,17
"2010-02-01",33,40,30,8,19
"2010-03-01",33,39,30,9,20
"2010-04-01",32,39,31,7,22
"2010-05-01",33,37,27,7,21
"2010-06-01",32,33,24,7,16
"2010-07-01",32,32,24,10,15
