"Time","Anxiety","Major depressive disorder","Psychological Stress","Insomnia","Mental disorder"
"2004-01-01",19,42,35,7,21
"2004-02-01",20,41,36,7,21
"2004-03-01",23,38,37,7,20
"2004-04-01",22,38,38,6,19
"2004-05-01",22,39,40,6,19
"2004-06-01",18,32,28,4,17
"2004-07-01",18,36,27,4,16
"2004-08-01",18,36,27,6,16
"2004-09-01",19,37,31,5,17
"2004-10-01",20,37,36,7,19
"2004-11-01",21,42,43,6,21
"2004-12-01",19,38,35,6,18
"2005-01-01",19,40,33,7,19
"2005-02-01",18,41,35,6,20
"2005-03-01",18,40,35,5,18
"2005-04-01",20,43,36,5,19
"2005-05-01",19,43,34,5,18
"2005-06-01",17,38,29,5,17
"2005-07-01",16,33,23,5,14
"2005-08-01",17,33,23,6,14
"2005-09-01",19,35,28,6,16
"2005-10-01",19,37,31,6,19
"2005-11-01",19,41,39,6,18
"2005-12-01",16,36,31,6,15
"2006-01-01",20,40,33,8,18
"2006-02-01",19,40,33,7,17
"2006-03-01",20,40,36,5,17
"2006-04-01",19,38,28,5,16
"2006-05-01",20,35,31,5,17
"2006-06-01",17,32,27,4,15
"2006-07-01",14,30,22,4,12
"2006-08-01",15,30,19,5,11
"2006-09-01",17,37,26,5,15
"2006-10-01",19,39,29,5,16
"2006-11-01",18,36,36,5,17
"2006-12-01",17,32,26,5,14
"2007-01-01",18,35,27,6,15
"2007-02-01",18,36,28,6,16
"2007-03-01",19,33,30,5,16
"2007-04-01",17,33,25,4,15
"2007-05-01",19,32,27,4,16
"2007-06-01",17,28,24,4,15
"2007-07-01",16,27,21,5,13
"2007-08-01",17,27,19,5,12
"2007-09-01",18,29,22,4,13
"2007-10-01",19,29,25,5,16
"2007-11-01",19,31,29,5,15
"2007-12-01",17,28,23,5,13
"2008-01-01",20,31,28,6,16
"2008-02-01",19,33,24,5,16
"2008-03-01",19,31,25,5,15
"2008-04-01",20,30,24,4,17
"2008-05-01",18,28,25,5,16
"2008-06-01",18,29,22,5,15
"2008-07-01",16,24,18,4,13
"2008-08-01",18,26,16,5,13
"2008-09-01",17,25,21,5,15
"2008-10-01",18,28,23,5,16
"2008-11-01",21,32,26,6,17
"2008-12-01",17,26,21,6,14
"2009-01-01",18,29,25,7,15
"2009-02-01",19,29,25,6,16
"2009-03-01",21,31,24,5,17
"2009-04-01",21,27,23,6,17
"2009-05-01",20,30,24,5,19
"2009-06-01",19,27,19,6,17
"2009-07-01",19,24,17,5,13
"2009-08-01",18,24,16,6,14
"2009-09-01",22,24,20,5,15
"2009-10-01",20,31,20,5,17
"2009-11-01",19,33,23,6,17
"2009-12-01",20,27,19,6,14
