country,origin,forecast_start,forecast_end,horizon_n,model_type,order,seasonal_order,MAE,RMSE,sMAPE,status
Australia,2021-12-01,2022-01-01,2022-12-01,12,ARIMA,"(3, 1, 1)","(0, 0, 0, 0)",5.189700728865241,7.784350267132584,6.216934572564974,OK
Australia,2021-12-01,2022-01-01,2022-12-01,12,Naive,,,15.75,17.012250488006185,19.94085661871732,OK
Australia,2021-12-01,2022-01-01,2022-12-01,12,SARIMA,"(1, 1, 1)","(1, 1, 1, 12)",4.159454193957946,5.126135058819721,4.946765906650909,OK
Australia,2021-12-01,2022-01-01,2022-12-01,12,SARIMAX,"(1, 1, 1)","(0, 1, 1, 12)",4.850712523976591,5.775016078231885,5.763858009786338,OK
Australia,2021-12-01,2022-01-01,2022-12-01,12,Seasonal_Naive,,,5.416666666666667,6.18465843842649,6.275878756744782,OK
Australia,2022-12-01,2023-01-01,2023-12-01,12,ARIMA,"(3, 1, 1)","(0, 0, 0, 0)",7.217706390693606,8.373899269989687,8.395934766885361,OK
Australia,2022-12-01,2023-01-01,2023-12-01,12,Naive,,,22.166666666666668,23.430749027719962,28.318943125604445,OK
Australia,2022-12-01,2023-01-01,2023-12-01,12,SARIMA,"(1, 1, 1)","(1, 1, 1, 12)",4.4540661048962535,5.3947569176724794,5.0973503759987455,OK
Australia,2022-12-01,2023-01-01,2023-12-01,12,SARIMAX,"(1, 1, 1)","(0, 1, 1, 12)",16.20214239202418,18.293692203616967,16.887927262658017,OK
Australia,2022-12-01,2023-01-01,2023-12-01,12,Seasonal_Naive,,,4.416666666666667,5.678908345800274,5.171635135965572,OK
Australia,2023-05-01,2023-06-01,2024-05-01,12,ARIMA,"(3, 1, 1)","(0, 0, 0, 0)",6.198944724610186,8.59191663499388,7.233758103818603,OK
Australia,2023-05-01,2023-06-01,2024-05-01,12,Naive,,,11.416666666666666,13.35102992281869,12.681046363664619,OK
Australia,2023-05-01,2023-06-01,2024-05-01,12,SARIMA,"(1, 1, 1)","(1, 1, 1, 12)",4.5030224037377025,5.847729047136274,5.119160886825059,OK
