horizon_group,model_type,n_country_horizon_cells,RMSE,sMAPE,model_label,horizon_label
h01_03,ARIMA,6,4.679819863650347,4.688569040778204,ARIMA,h01-03
h01_03,Naive,6,5.198561872051511,5.330177335860107,Naive,h01-03
h01_03,SARIMA,6,3.7759969662843456,3.733044208702504,SARIMA,h01-03
h01_03,SARIMAX,6,15.111946805571892,16.101159886208162,SARIMAX,h01-03
h01_03,Seasonal_Naive,6,4.222827340394475,4.374403008512086,Seasonal Naive,h01-03
h04_12,ARIMA,6,7.055051504330588,6.483099243819214,ARIMA,h04-12
h04_12,Naive,6,8.197662291450618,8.016894008685087,Naive,h04-12
h04_12,SARIMA,6,7.351594499884164,6.9967979286241,SARIMA,h04-12
h04_12,SARIMAX,6,16.969691312130138,17.09434192641689,SARIMAX,h04-12
h04_12,Seasonal_Naive,6,5.442140652757613,5.141544351560845,Seasonal Naive,h04-12
h13_24,ARIMA,6,9.805908715015791,9.558638371376476,ARIMA,h13-24
h13_24,Naive,6,8.739319850758077,8.320969028637306,Naive,h13-24
h13_24,SARIMA,6,10.409321346603166,10.573285340723288,SARIMA,h13-24
h13_24,SARIMAX,6,23.047629010583865,23.22080949477944,SARIMAX,h13-24
h13_24,Seasonal_Naive,6,4.831256827402903,4.51006544582716,Seasonal Naive,h13-24
h25_plus,ARIMA,6,16.176303576877405,17.96727276439783,ARIMA,h25+
h25_plus,Naive,6,12.182566341388068,13.266246489706525,Naive,h25+
h25_plus,SARIMA,6,17.548789061624884,19.209736149191645,SARIMA,h25+
h25_plus,SARIMAX,6,31.293720383026553,32.06852527585078,SARIMAX,h25+
h25_plus,Seasonal_Naive,6,8.426378582193703,8.328662963503795,Seasonal Naive,h25+
